Time (s),Input u(t),Output y(t)
19.7,0,0.270105699
19.75,1,0.274194732
19.8,1,0.282825787
19.85,0,0.295303045
19.9,1,0.300138231
19.95,1,0.30888364
20,0,0.320912499
20.05,1,0.324809641
20.1,1,0.332202532
20.15,0,0.342539814
20.2,1,0.344480359
20.25,1,0.349722893
20.3,1,0.357783343
20.35,1,0.368172928
20.4,0,0.380409002
20.45,0,0.383234546
20.5,0,0.377654272
20.55,1,0.364736622
20.6,1,0.356374016
20.65,1,0.352227728
20.7,0,0.351908381
20.75,1,0.344199885
20.8,0,0.340890602
20.85,1,0.330762807
20.9,0,0.325591371
20.95,0,0.314134847
21,0,0.297345809
21.05,0,0.276181616
21.1,1,0.251583661
21.15,1,0.235249319
21.2,1,0.22658863
21.25,0,0.224916446
21.3,0,0.218687648
21.35,1,0.208549018
21.4,1,0.205946683
21.45,1,0.210083197
21.5,0,0.220109116
21.55,1,0.224356801
21.6,0,0.234180144
21.65,1,0.237951266
21.7,0,0.247065103
21.75,1,0.249935091
21.8,1,0.257996853
21.85,0,0.270493096
21.9,0,0.275868609
21.95,0,0.274815325
22,0,0.268082563
22.05,1,0.256454735
22.1,1,0.251520819
22.15,1,0.25262784
22.2,1,0.259069209
22.25,0,0.270105699
22.3,1,0.274194732
22.35,1,0.282825787
22.4,0,0.295303045
22.45,1,0.300138231
22.5,1,0.30888364
22.55,0,0.320912499
22.6,1,0.324809641
22.65,1,0.332202532
22.7,0,0.342539814
22.75,1,0.344480359
22.8,1,0.349722893
22.85,1,0.357783343
22.9,1,0.368172928
22.95,0,0.380409002
23,0,0.383234546
23.05,0,0.377654272
23.1,1,0.364736622
23.15,1,0.356374016
23.2,1,0.352227728
23.25,0,0.351908381
23.3,1,0.344199885
23.35,0,0.340890602
23.4,1,0.330762807
23.45,0,0.325591371
23.5,0,0.314134847
23.55,0,0.297345809
23.6,0,0.276181616
23.65,1,0.251583661
23.7,1,0.235249319
23.75,1,0.22658863
23.8,0,0.224916446
23.85,0,0.218687648
23.9,1,0.208549018
23.95,1,0.205946683
24,1,0.210083197
24.05,0,0.220109116
24.1,1,0.224356801
24.15,0,0.234180144
24.2,1,0.237951266
24.25,0,0.247065103
24.3,1,0.249935091
24.35,1,0.257996853
24.4,0,0.270493096
24.45,0,0.275868609
24.5,0,0.274815325
24.55,0,0.268082563
24.6,1,0.256454735
24.65,1,0.251520819
24.7,1,0.25262784
24.75,1,0.259069209
24.8,0,0.270105699
24.85,1,0.274194732
24.9,1,0.282825787
24.95,0,0.295303045
25,1,0.300138231
25.05,1,0.30888364
25.1,0,0.320912499
25.15,1,0.324809641
25.2,1,0.332202532
25.25,0,0.342539814
25.3,1,0.344480359
25.35,1,0.349722893
25.4,1,0.357783343
25.45,1,0.368172928
25.5,0,0.380409002
25.55,0,0.383234546
25.6,0,0.377654272
25.65,1,0.364736622
25.7,1,0.356374016
25.75,1,0.352227728
25.8,0,0.351908381
25.85,1,0.344199885
25.9,0,0.340890602
25.95,1,0.330762807
26,0,0.325591371
26.05,0,0.314134847
26.1,0,0.297345809
26.15,0,0.276181616
26.2,1,0.251583661
26.25,1,0.235249319
26.3,1,0.22658863
26.35,0,0.224916446
26.4,0,0.218687648
26.45,1,0.208549018
26.5,1,0.205946683
26.55,1,0.210083197
26.6,0,0.220109116
26.65,1,0.224356801
26.7,0,0.234180144
26.75,1,0.237951266
26.8,0,0.247065103
26.85,1,0.249935091
26.9,1,0.257996853
26.95,0,0.270493096
27,0,0.275868609
27.05,0,0.274815325
27.1,0,0.268082563
27.15,1,0.256454735
27.2,1,0.251520819
